Name reduce-output-bytes shuffle-finish reduce-finish
task_200904102259_0008_r_000503 370249200 35 44
task_200904102259_0008_r_000504 370463200 35 45
task_200904102259_0008_r_000505 370536200 34 43
task_200904102259_0008_r_000506 370523200 35 45
task_200904102259_0008_r_000507 370111100 35 45
task_200904102259_0008_r_000508 370490900 35 44
task_200904102259_0008_r_000509 370583600 35 44
task_200904102259_0008_r_000510 370317200 36 45
task_200904102259_0008_r_000511 370695400 34 44
task_200904102259_0008_r_000512 370441200 35 44
task_200904102259_0008_r_000513 370180100 34 43
task_200904102259_0008_r_000514 370176000 34 43
task_200904102259_0008_r_000515 370259000 35 46
task_200904102259_0008_r_000516 370221600 34 43
task_200904102259_0008_r_000517 370670000 35 41
task_200904102259_0008_r_000518 370515100 35 43
task_200904102259_0008_r_000519 369967300 39 47
task_200904102259_0008_r_000520 370457100 34 43
task_200904102259_0008_r_000521 370520000 34 44
task_200904102259_0008_r_000522 370423800 39 46
task_200904102259_0008_r_000523 370019400 34 43
task_200904102259_0008_r_000524 370651200 35 43
task_200904102259_0008_r_000525 370556200 35 43
task_200904102259_0008_r_000526 370276600 36 44
task_200904102259_0008_r_000527 370300300 36 45
task_200904102259_0008_r_000528 370931600 35 43
task_200904102259_0008_r_000529 370557000 35 44
task_200904102259_0008_r_000530 370524700 35 45
task_200904102259_0008_r_000531 370375300 39 47
task_200904102259_0008_r_000532 370264600 35 43
task_200904102259_0008_r_000533 369882500 34 45
task_200904102259_0008_r_000534 370088800 35 45
task_200904102259_0008_r_000535 370294700 35 44
task_200904102259_0008_r_000536 370514000 35 48
task_200904102259_0008_r_000537 370188100 35 47
task_200904102259_0008_r_000538 370149500 36 46
task_200904102259_0008_r_000539 370449700 35 45
task_200904102259_0008_r_000540 370140900 34 43
task_200904102259_0008_r_000541 370185600 35 45
task_200904102259_0008_r_000542 370312200 36 45
task_200904102259_0008_r_000543 370369000 36 46
task_200904102259_0008_r_000544 370392700 34 44
task_200904102259_0008_r_000545 370418200 35 43
task_200904102259_0008_r_000546 370565400 35 43
task_200904102259_0008_r_000547 370449000 35 44
task_200904102259_0008_r_000548 370039400 33 41
task_200904102259_0008_r_000549 370277400 34 43
task_200904102259_0008_r_000550 370263300 35 44
task_200904102259_0008_r_000551 370706900 35 46
task_200904102259_0008_r_000552 370122200 34 43
task_200904102259_0008_r_000553 370531800 35 43
task_200904102259_0008_r_000554 370346500 33 41
task_200904102259_0008_r_000555 370624400 34 42
task_200904102259_0008_r_000556 370482100 35 43
task_200904102259_0008_r_000557 370151200 42 50
task_200904102259_0008_r_000558 370022600 35 43
task_200904102259_0008_r_000559 370607800 35 43
task_200904102259_0008_r_000560 370642900 33 42
task_200904102259_0008_r_000561 370379700 33 42
task_200904102259_0008_r_000562 370521600 35 43
task_200904102259_0008_r_000563 370667800 33 44
task_200904102259_0008_r_000564 370463300 34 43
task_200904102259_0008_r_000565 370288500 33 41
task_200904102259_0008_r_000566 370518100 34 43
task_200904102259_0008_r_000567 370161500 33 42
task_200904102259_0008_r_000568 370339000 35 43
task_200904102259_0008_r_000569 370726000 35 43
task_200904102259_0008_r_000570 370392300 36 44
